epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	21.5325	484.8386	|	21.6593	21.2227	-757.6941	0.0000	|	21.0765	21.2731	-734.6153	0.0000	|  Best result at epoch 0
1	451.5774	11.1187	|	2.8705	2.3849	-13.6704	6.2500	|	1.9341	2.0243	23.4109	14.0000	|  Best result at epoch 1
2	17.0848	10.0379	|	2.6961	2.1989	-6.7624	10.4167	|	1.7937	1.7643	28.9722	26.0000	|  Best result at epoch 2
3	15.2522	8.8567	|	2.5229	1.9722	0.0960	8.3333	|	1.6864	1.4579	33.2205	22.0000	|  Best result at epoch 3
4	14.5120	7.6114	|	2.3393	1.7010	7.3638	6.2500	|	1.6180	1.2503	35.9290	8.0000	|  Best result at epoch 4
5	12.1333	5.6098	|	2.0032	1.4233	20.6760	4.1667	|	1.5013	1.1336	40.5486	16.0000	|  Best result at epoch 5
6	10.6536	3.7523	|	1.5600	1.7569	38.2238	35.4167	|	1.4924	1.3353	40.9007	36.0000	|  Best result at epoch 6
7	8.4744	3.3840	|	1.4557	1.5553	42.3563	33.3333	|	1.5499	1.5502	38.6262	36.0000	|  Best result at epoch 7
8	8.4052	3.1401	|	1.4158	1.3328	43.9362	41.6667	|	1.6715	1.6535	33.8112	30.0000	|  Best result at epoch 8
9	7.1381	3.4245	|	1.4720	1.0782	41.7110	43.7500	|	2.1101	2.1745	16.4427	20.0000	|  Best result at epoch 8
10	7.8011	3.7583	|	1.5161	1.1136	39.9622	39.5833	|	2.2630	2.2882	10.3861	16.0000	|  Best result at epoch 8
11	7.2870	3.1064	|	1.3943	1.4054	44.7867	41.6667	|	1.6050	1.5654	36.4414	32.0000	|  Best result at epoch 11
12	7.4357	3.0317	|	1.4051	1.0945	44.3598	45.8333	|	1.9038	1.9242	24.6112	30.0000	|  Best result at epoch 11
13	7.6315	3.8511	|	1.5277	1.2269	39.5045	41.6667	|	2.3330	2.4115	7.6155	12.0000	|  Best result at epoch 11
14	8.1119	3.2881	|	1.4419	1.0920	42.9000	43.7500	|	2.1219	2.1624	15.9752	18.0000	|  Best result at epoch 11
15	6.8969	2.9227	|	1.3929	1.2629	44.8405	41.6667	|	1.7664	1.7688	30.0531	34.0000	|  Best result at epoch 15
16	6.4669	3.2590	|	1.4438	1.0926	42.8250	39.5833	|	2.1383	2.2044	15.3250	18.0000	|  Best result at epoch 15
17	6.2204	3.0094	|	1.3856	1.0558	45.1304	45.8333	|	2.0086	2.1371	20.4607	28.0000	|  Best result at epoch 17
18	6.5199	3.6414	|	1.5487	1.5487	38.6725	33.3333	|	1.5246	1.2990	39.6277	32.0000	|  Best result at epoch 17
19	6.8384	3.4617	|	1.4759	1.1745	41.5567	37.5000	|	2.2341	2.3412	11.5311	18.0000	|  Best result at epoch 17
20	6.3425	2.9466	|	1.3725	1.0787	45.6500	52.0833	|	1.8622	1.9450	26.2577	32.0000	|  Best result at epoch 20
21	6.0907	4.0226	|	1.6478	1.6309	34.7488	27.0833	|	1.5192	1.2431	39.8416	26.0000	|  Best result at epoch 20
22	6.7522	2.9235	|	1.3368	1.0609	47.0624	50.0000	|	1.9081	1.9097	24.4415	28.0000	|  Best result at epoch 22
23	6.6660	3.2668	|	1.4196	1.1569	43.7844	39.5833	|	2.1771	2.3278	13.7887	24.0000	|  Best result at epoch 22
24	4.5676	2.8726	|	1.3426	1.3522	46.8330	39.5833	|	1.7213	1.7633	31.8379	32.0000	|  Best result at epoch 22
25	5.1026	4.2564	|	1.6207	1.3991	35.8212	37.5000	|	2.5385	2.5289	-0.5211	22.0000	|  Best result at epoch 22
26	5.9685	2.7549	|	1.3107	1.1544	48.0972	41.6667	|	1.7880	1.8380	29.1966	30.0000	|  Best result at epoch 26
27	4.6731	2.7968	|	1.3243	1.1370	47.5589	45.8333	|	1.8268	1.8495	27.6620	26.0000	|  Best result at epoch 26
28	5.3409	5.3671	|	1.8822	1.5733	25.4660	31.2500	|	2.8711	2.8535	-13.6929	14.0000	|  Best result at epoch 26
29	7.2718	3.2559	|	1.4346	1.5794	43.1892	41.6667	|	1.5489	1.4160	38.6646	32.0000	|  Best result at epoch 26
30	6.1459	2.8724	|	1.3930	1.0883	44.8375	41.6667	|	2.0257	2.1141	19.7842	28.0000	|  Best result at epoch 26
31	4.3185	3.3072	|	1.4611	1.2348	42.1416	43.7500	|	2.3047	2.3094	8.7368	18.0000	|  Best result at epoch 26
32	3.8836	2.7512	|	1.3692	1.1244	45.7790	43.7500	|	2.0291	2.0352	19.6494	28.0000	|  Best result at epoch 26
33	4.9523	3.3820	|	1.4761	1.2393	41.5470	31.2500	|	1.7067	1.4421	32.4178	22.0000	|  Best result at epoch 26
