epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	1747.8673	111.0425	|	8.0476	6.5637	-34.5963	0.0000	|	6.6834	4.3567	-11.7796	1.0309	|  Best result at epoch 0
1	72.3091	107.4802	|	7.8388	6.3351	-31.1035	0.0000	|	6.4912	4.1984	-8.5651	0.0000	|  Best result at epoch 1
2	71.4409	104.1925	|	7.6410	6.1202	-27.7962	0.0000	|	6.3098	4.0727	-5.5321	1.0309	|  Best result at epoch 2
3	67.0207	97.6272	|	7.2249	5.6393	-20.8365	3.1579	|	5.9284	3.8134	0.8465	6.1856	|  Best result at epoch 3
4	58.5882	76.1723	|	5.7390	3.7629	4.0157	17.8947	|	4.7040	3.4301	21.3247	20.6186	|  Best result at epoch 4
5	45.4862	51.7704	|	4.6464	3.9206	22.2894	27.3684	|	4.6734	2.9730	21.8370	35.0515	|  Best result at epoch 5
6	45.0534	57.1964	|	4.5337	2.7842	24.1737	30.5263	|	4.0820	2.0998	31.7279	38.1443	|  Best result at epoch 6
7	40.5976	55.8466	|	4.4747	2.7230	25.1598	30.5263	|	4.0661	2.0145	31.9952	39.1753	|  Best result at epoch 7
8	35.8200	50.1209	|	4.4319	3.4545	25.8757	28.4211	|	4.3906	3.1079	26.5664	34.0206	|  Best result at epoch 8
9	36.4837	56.5472	|	4.4913	2.6549	24.8826	30.5263	|	4.0344	2.0457	32.5249	38.1443	|  Best result at epoch 8
10	38.9234	50.0186	|	4.3888	3.3508	26.5978	28.4211	|	4.2844	2.8741	28.3439	36.0825	|  Best result at epoch 10
11	36.1496	53.6074	|	4.3629	2.7233	27.0307	32.6316	|	4.0223	1.9697	32.7272	39.1753	|  Best result at epoch 11
12	38.3370	50.7778	|	4.3001	3.4335	28.0812	30.5263	|	4.0888	2.3443	31.6147	37.1134	|  Best result at epoch 12
13	37.3526	49.7378	|	4.2987	3.5340	28.1046	30.5263	|	4.1522	2.6390	30.5544	35.0515	|  Best result at epoch 13
14	38.1018	47.6882	|	4.4573	3.4752	25.4521	30.5263	|	4.7382	3.5965	20.7531	35.0515	|  Best result at epoch 13
15	38.8929	62.4756	|	4.8486	2.8001	18.9076	29.4737	|	4.0561	2.5380	32.1622	34.0206	|  Best result at epoch 13
16	40.2932	47.8734	|	4.3210	3.5242	27.7311	28.4211	|	4.3691	3.1464	26.9267	34.0206	|  Best result at epoch 13
17	37.5675	51.8806	|	4.2666	2.5806	28.6409	35.7895	|	3.9534	1.8924	33.8801	38.1443	|  Best result at epoch 17
18	36.3999	52.2384	|	4.2935	2.4481	28.1910	35.7895	|	3.9432	1.8831	34.0504	42.2680	|  Best result at epoch 17
19	36.3854	47.8309	|	4.2245	3.3673	29.3450	29.4737	|	4.1323	2.7280	30.8869	32.9897	|  Best result at epoch 19
20	37.3065	84.3232	|	6.4723	4.7920	-8.2489	6.3158	|	5.2812	4.0048	11.6724	12.3711	|  Best result at epoch 19
21	43.5841	55.4396	|	4.4737	2.5514	25.1778	32.6316	|	3.9433	2.1157	34.0485	36.0825	|  Best result at epoch 19
22	34.2947	50.4008	|	4.2581	2.6449	28.7826	31.5789	|	3.9254	2.0854	34.3480	38.1443	|  Best result at epoch 19
23	30.2901	61.0738	|	4.8585	3.1789	18.7413	27.3684	|	4.1536	2.4247	30.5316	30.9278	|  Best result at epoch 19
24	35.8246	46.9823	|	4.2132	3.1479	29.5334	31.5789	|	4.0832	2.4520	31.7083	35.0515	|  Best result at epoch 24
25	33.4906	82.4154	|	6.3888	4.7451	-6.8522	10.5263	|	5.2280	3.5389	12.5616	14.4330	|  Best result at epoch 24
26	35.7733	55.9416	|	4.6005	2.7873	23.0570	30.5263	|	4.0158	2.3130	32.8354	38.1443	|  Best result at epoch 24
27	33.7044	72.7133	|	5.7269	4.0894	4.2179	14.7368	|	4.7928	3.0385	19.8407	14.4330	|  Best result at epoch 24
28	34.5291	56.0173	|	4.6352	2.8694	22.4761	29.4737	|	4.0748	2.4544	31.8487	34.0206	|  Best result at epoch 24
29	31.2071	47.3899	|	4.2475	3.1178	28.9610	30.5263	|	3.9867	2.3804	33.3222	38.1443	|  Best result at epoch 24
30	27.5161	43.5429	|	4.2666	3.1756	28.6417	31.5789	|	4.2458	2.7072	28.9885	34.0206	|  Best result at epoch 24
31	32.4167	55.8394	|	4.7478	3.1075	20.5930	28.4211	|	4.1798	2.3654	30.0921	27.8351	|  Best result at epoch 24
32	32.4279	48.3684	|	4.3405	3.0351	27.4058	31.5789	|	4.0392	2.3721	32.4441	36.0825	|  Best result at epoch 24
33	28.7703	43.1023	|	4.4300	3.3164	25.9085	28.4211	|	4.6040	3.1577	22.9987	37.1134	|  Best result at epoch 24
