epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	18.4287	2.4440	|	1.2593	0.9745	52.1128	25.8621	|	1.6244	1.0859	38.2309	11.4754	|  Best result at epoch 0
1	15671.1781	3.9709	|	1.4989	1.1918	43.0020	22.4138	|	1.6684	1.2185	36.5575	16.3934	|  Best result at epoch 0
2	10.7870	3.8436	|	1.4746	1.1693	43.9270	20.6897	|	1.6616	1.2375	36.8161	16.3934	|  Best result at epoch 0
3	11.0899	3.7386	|	1.4567	1.1449	44.6065	20.6897	|	1.6565	1.1959	37.0101	16.3934	|  Best result at epoch 0
4	10.7274	3.6551	|	1.4439	1.1322	45.0924	20.6897	|	1.6524	1.2311	37.1638	16.3934	|  Best result at epoch 0
5	10.7575	3.5725	|	1.4309	1.1181	45.5889	22.4138	|	1.6494	1.2641	37.2811	16.3934	|  Best result at epoch 0
6	11.0383	3.4825	|	1.4160	1.0758	46.1562	22.4138	|	1.6457	1.2687	37.4208	16.3934	|  Best result at epoch 0
7	9.9709	3.3602	|	1.3949	1.0305	46.9561	20.6897	|	1.6414	1.2647	37.5843	13.1148	|  Best result at epoch 0
8	9.8054	3.2421	|	1.3737	1.0312	47.7632	20.6897	|	1.6371	1.2181	37.7479	13.1148	|  Best result at epoch 0
9	10.1087	3.1017	|	1.3474	1.0567	48.7649	25.8621	|	1.6315	1.1622	37.9602	9.8361	|  Best result at epoch 0
10	9.4152	2.9635	|	1.3255	1.0397	49.5942	17.2414	|	1.6271	1.1363	38.1271	8.1967	|  Best result at epoch 0
11	9.4027	2.7878	|	1.2949	0.9994	50.7601	18.9655	|	1.6238	1.0845	38.2546	8.1967	|  Best result at epoch 0
12	9.4135	2.5979	|	1.2610	0.9682	52.0489	22.4138	|	1.6268	1.1136	38.1388	9.8361	|  Best result at epoch 0
13	9.1396	2.3877	|	1.2304	0.9170	53.2110	29.3103	|	1.6348	1.2117	37.8327	14.7541	|  Best result at epoch 13
14	8.9970	2.2637	|	1.2176	0.8691	53.7009	31.0345	|	1.6425	1.1980	37.5428	19.6721	|  Best result at epoch 14
15	8.8550	2.2153	|	1.2179	0.9781	53.6882	32.7586	|	1.6589	1.3726	36.9180	16.3934	|  Best result at epoch 14
16	7.6165	2.2775	|	1.2657	1.2068	51.8697	32.7586	|	1.7081	1.6029	35.0476	22.9508	|  Best result at epoch 14
17	7.2644	2.3826	|	1.3080	1.3331	50.2597	27.5862	|	1.7561	1.6584	33.2212	26.2295	|  Best result at epoch 14
