epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	204.9316	292.1870	|	16.4827	17.0363	-129.2751	0.0000	|	15.7858	16.4993	-119.5821	1.4493	|  Best result at epoch 0
1	271.9161	28.2080	|	2.2458	1.3731	68.7610	4.4776	|	4.3267	1.4541	39.8149	13.0435	|  Best result at epoch 1
2	198.3319	26.8305	|	1.9483	1.0264	72.8991	31.3433	|	4.0630	1.0820	43.4828	24.6377	|  Best result at epoch 2
3	193.6245	24.4634	|	1.6062	0.6622	77.6574	28.3582	|	3.8252	0.9424	46.7913	15.9420	|  Best result at epoch 3
4	182.7737	29.7411	|	3.6186	3.1664	49.6646	8.9552	|	5.0584	3.6776	29.6375	10.1449	|  Best result at epoch 3
5	173.1608	40.6991	|	5.0676	4.9656	29.5092	5.9701	|	6.1366	5.2877	14.6401	8.6957	|  Best result at epoch 3
6	151.4658	53.9328	|	5.9765	5.5869	16.8658	5.9701	|	6.6218	5.9600	7.8899	8.6957	|  Best result at epoch 3
7	179.5546	21.9277	|	1.8248	1.0889	74.6172	25.3731	|	3.6611	1.4663	49.0741	21.7391	|  Best result at epoch 3
8	144.2541	631.1843	|	19.2127	15.9359	-167.2500	1.4925	|	21.5341	17.2067	-199.5414	1.4493	|  Best result at epoch 3
9	922.9719	26.9609	|	2.0264	1.1772	71.8122	20.8955	|	4.1321	1.1955	42.5219	24.6377	|  Best result at epoch 3
10	194.5254	26.1967	|	1.8736	0.9715	73.9383	28.3582	|	4.0071	1.0042	44.2608	24.6377	|  Best result at epoch 3
11	192.7175	25.2507	|	1.7378	0.7192	75.8267	19.4030	|	3.9107	0.8238	45.6024	15.9420	|  Best result at epoch 3
12	186.7350	23.9997	|	1.5887	0.7422	77.9015	29.8507	|	3.8022	0.9627	47.1106	17.3913	|  Best result at epoch 12
13	180.4772	22.8609	|	1.8263	1.1601	74.5964	23.8806	|	3.8959	1.7480	45.8078	20.2899	|  Best result at epoch 12
14	168.4984	39.6307	|	4.9838	4.9181	30.6748	7.4627	|	6.2165	4.8985	13.5285	7.2464	|  Best result at epoch 12
15	170.2487	22.3599	|	1.7666	1.1178	75.4268	25.3731	|	3.8290	1.5808	46.7377	21.7391	|  Best result at epoch 12
16	168.3223	25.1881	|	2.9358	2.5105	59.1627	10.4478	|	4.6711	2.9895	35.0248	5.7971	|  Best result at epoch 12
17	145.0448	57.0470	|	6.3440	5.4378	11.7540	2.9851	|	7.2915	6.8488	-1.4253	8.6957	|  Best result at epoch 12
18	151.9990	41.8017	|	4.9894	4.1409	30.5967	4.4776	|	6.1996	5.3324	13.7627	8.6957	|  Best result at epoch 12
