epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	11.2123	20522.1289	|	136.5756	131.9993	-7017.9279	0.0000	|	136.2553	126.0284	-7001.2373	0.0000	|  Best result at epoch 0
1	12201.7971	11.6862	|	2.8509	2.6517	-48.5794	7.6923	|	2.3424	1.7268	-22.0795	5.6604	|  Best result at epoch 1
2	7.8669	11.5211	|	2.8265	2.6051	-47.3081	7.6923	|	2.3243	1.7053	-21.1346	5.6604	|  Best result at epoch 2
3	7.5697	11.3574	|	2.8013	2.5719	-45.9938	7.6923	|	2.3055	1.6642	-20.1561	9.4340	|  Best result at epoch 3
4	7.1863	11.1928	|	2.7761	2.5374	-44.6847	7.6923	|	2.2865	1.6458	-19.1683	7.5472	|  Best result at epoch 4
5	7.0305	10.9991	|	2.7461	2.4997	-43.1191	7.6923	|	2.2637	1.6181	-17.9753	7.5472	|  Best result at epoch 5
6	7.4563	10.8135	|	2.7184	2.4579	-41.6757	5.7692	|	2.2408	1.5919	-16.7826	7.5472	|  Best result at epoch 6
7	6.5169	10.5870	|	2.6841	2.4123	-39.8860	7.6923	|	2.2128	1.5585	-15.3260	9.4340	|  Best result at epoch 7
8	6.5114	10.3550	|	2.6486	2.3606	-38.0356	5.7692	|	2.1843	1.5225	-13.8391	9.4340	|  Best result at epoch 8
9	6.8293	10.0642	|	2.6026	2.3009	-35.6417	5.7692	|	2.1472	1.4755	-11.9033	9.4340	|  Best result at epoch 9
10	6.8103	9.7734	|	2.5554	2.2400	-33.1787	3.8462	|	2.1094	1.4270	-9.9363	7.5472	|  Best result at epoch 10
11	6.6512	9.4592	|	2.5035	2.1722	-30.4770	3.8462	|	2.0710	1.3737	-7.9345	13.2075	|  Best result at epoch 11
12	6.5473	9.0905	|	2.4405	2.0904	-27.1910	3.8462	|	2.0237	1.3082	-5.4703	15.0943	|  Best result at epoch 12
13	5.8720	8.6532	|	2.3639	1.9893	-23.2006	7.6923	|	1.9660	1.2291	-2.4627	16.9811	|  Best result at epoch 13
14	5.6181	7.9060	|	2.2285	1.8058	-16.1456	21.1538	|	1.8663	1.2746	2.7314	18.8679	|  Best result at epoch 14
