epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	15.8310	576.7220	|	23.3473	23.8431	-947.0531	0.0000	|	21.8524	19.9914	-880.0145	0.0000	|  Best result at epoch 0
1	410.5267	2.9226	|	1.5773	1.4145	29.2608	0.0000	|	2.2241	2.2568	0.2552	0.0000	|  Best result at epoch 1
2	12.8993	2.5555	|	1.4538	1.2987	34.8033	6.5217	|	2.1253	2.1048	4.6879	6.1224	|  Best result at epoch 2
3	11.8857	2.0308	|	1.2616	1.0856	43.4195	6.5217	|	1.9708	1.8754	11.6173	12.2449	|  Best result at epoch 3
4	11.1392	1.4251	|	1.0189	0.8276	54.3042	4.3478	|	1.7969	1.5602	19.4151	10.2041	|  Best result at epoch 4
5	10.1840	0.7276	|	0.5986	0.3885	73.1558	56.5217	|	1.5275	1.2247	31.4946	20.4082	|  Best result at epoch 5
6	8.9591	0.5940	|	0.6016	0.5272	73.0202	54.3478	|	1.4057	0.8054	36.9577	34.6939	|  Best result at epoch 5
7	7.3690	0.9492	|	0.8351	0.7722	62.5500	32.6087	|	1.4385	1.0871	35.4862	36.7347	|  Best result at epoch 5
8	7.8641	1.7644	|	1.1866	1.2025	46.7849	17.3913	|	1.6199	1.4250	27.3510	34.6939	|  Best result at epoch 5
9	7.8446	0.8290	|	0.7525	0.6936	66.2549	39.1304	|	1.4299	1.0249	35.8748	38.7755	|  Best result at epoch 5
10	7.2243	1.3220	|	0.9814	0.9626	55.9882	26.0870	|	1.5401	1.3317	30.9331	34.6939	|  Best result at epoch 5
11	6.7623	0.5988	|	0.5523	0.3446	75.2292	65.2174	|	1.3931	0.9661	37.5247	28.5714	|  Best result at epoch 11
12	7.3098	0.6687	|	0.6177	0.4955	72.2962	54.3478	|	1.3806	0.9694	38.0847	32.6531	|  Best result at epoch 11
13	6.8726	0.8663	|	0.7336	0.5814	67.0997	47.8261	|	1.4258	1.2223	36.0574	36.7347	|  Best result at epoch 11
14	6.0740	0.7526	|	0.6594	0.5000	70.4272	54.3478	|	1.3822	0.9638	38.0125	34.6939	|  Best result at epoch 11
15	6.3250	2.4277	|	1.3091	1.2174	41.2914	28.2609	|	1.9013	1.7381	14.7333	14.2857	|  Best result at epoch 11
16	7.4572	0.6917	|	0.6031	0.4485	72.9522	58.6957	|	1.3859	0.9466	37.8451	30.6122	|  Best result at epoch 11
17	6.5165	0.7051	|	0.6063	0.4567	72.8076	56.5217	|	1.3985	0.9831	37.2819	30.6122	|  Best result at epoch 11
18	5.2247	0.9316	|	0.7539	0.5519	66.1917	45.6522	|	1.4700	1.2089	34.0764	36.7347	|  Best result at epoch 11
19	5.9552	0.7734	|	0.6590	0.5655	70.4441	52.1739	|	1.3821	0.9152	38.0157	32.6531	|  Best result at epoch 11
20	4.4775	0.8933	|	0.7298	0.6572	67.2687	45.6522	|	1.3960	0.9571	37.3940	30.6122	|  Best result at epoch 11
21	4.9213	1.7376	|	1.1436	1.0860	48.7151	10.8696	|	1.7850	1.4760	19.9471	10.2041	|  Best result at epoch 11
22	7.4789	0.8946	|	0.7348	0.6245	67.0468	30.4348	|	1.4447	1.1835	35.2116	28.5714	|  Best result at epoch 11
23	5.1692	1.5392	|	0.9574	0.8138	57.0651	39.1304	|	1.6405	1.3672	26.4296	26.5306	|  Best result at epoch 11
24	7.3399	0.8215	|	0.7231	0.5664	67.5696	39.1304	|	1.4435	1.0935	35.2650	32.6531	|  Best result at epoch 11
25	4.5752	0.9828	|	0.7868	0.6974	64.7154	30.4348	|	1.5001	1.1883	32.7255	30.6122	|  Best result at epoch 11
26	3.9504	1.1330	|	0.8481	0.7927	61.9633	30.4348	|	1.5539	1.2832	30.3129	28.5714	|  Best result at epoch 11
27	4.7261	1.4240	|	0.9988	0.9789	55.2069	26.0870	|	1.6663	1.1386	25.2717	20.4082	|  Best result at epoch 11
28	3.7134	1.3516	|	0.9644	0.9350	56.7488	28.2609	|	1.6214	1.2286	27.2854	20.4082	|  Best result at epoch 11
29	3.7986	1.2943	|	0.9430	0.9262	57.7093	23.9130	|	1.5875	1.2329	28.8036	28.5714	|  Best result at epoch 11
30	5.0681	2.5998	|	1.4765	1.3477	33.7821	2.1739	|	2.0864	2.0049	6.4310	6.1224	|  Best result at epoch 11
31	7.7220	1.1674	|	0.8780	0.7719	60.6223	23.9130	|	1.6130	1.2269	27.6625	20.4082	|  Best result at epoch 11
32	4.8475	1.0530	|	0.8209	0.6758	63.1868	28.2609	|	1.5451	1.1113	30.7085	26.5306	|  Best result at epoch 11
33	4.6134	0.9525	|	0.8046	0.6593	63.9160	32.6087	|	1.4859	1.1042	33.3618	30.6122	|  Best result at epoch 11
34	4.2086	1.0570	|	0.8477	0.7825	61.9824	30.4348	|	1.5781	1.1798	29.2255	26.5306	|  Best result at epoch 11
35	3.6366	0.9870	|	0.8311	0.7675	62.7297	30.4348	|	1.4870	0.9698	33.3146	30.6122	|  Best result at epoch 11
36	3.3388	1.0778	|	0.8679	0.8002	61.0772	15.2174	|	1.5168	1.1605	31.9769	26.5306	|  Best result at epoch 11
37	3.6986	1.2520	|	0.9201	0.8584	58.7369	17.3913	|	1.6159	1.1731	27.5317	18.3673	|  Best result at epoch 11
38	2.8141	1.1760	|	0.8848	0.8465	60.3210	21.7391	|	1.6425	1.1524	26.3377	18.3673	|  Best result at epoch 11
