epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	17.4204	7.9029	|	2.5278	2.5956	-33.9893	0.0000	|	2.0450	1.7323	-8.3968	0.0000	|  Best result at epoch 0
1	13.4084	3.0535	|	1.3738	1.1591	27.1818	20.8791	|	1.1042	1.0767	41.4720	19.3548	|  Best result at epoch 1
2	7.4188	1.5676	|	0.9944	0.8982	47.2914	42.8571	|	1.0482	0.9038	44.4400	46.2366	|  Best result at epoch 2
3	6.2907	2.2251	|	1.3470	1.2616	28.5996	24.1758	|	1.5674	1.4010	16.9205	18.2796	|  Best result at epoch 2
4	6.0672	2.1946	|	1.3422	1.2575	28.8532	25.2747	|	1.5704	1.3864	16.7596	19.3548	|  Best result at epoch 2
5	5.7731	1.5102	|	0.9749	0.9274	48.3217	41.7582	|	1.0267	0.8923	45.5789	45.1613	|  Best result at epoch 5
6	5.7410	2.1377	|	1.0667	0.8067	43.4606	43.9560	|	0.9169	0.8245	51.3972	38.7097	|  Best result at epoch 5
7	5.9963	1.9025	|	1.2279	1.1792	34.9129	29.6703	|	1.4458	1.1878	23.3657	24.7312	|  Best result at epoch 5
8	6.2118	1.4715	|	0.9104	0.6522	51.7411	45.0549	|	0.9278	0.7364	50.8185	46.2366	|  Best result at epoch 8
9	5.4593	1.6619	|	1.1136	1.1258	40.9725	36.2637	|	1.3025	1.1327	30.9589	36.5591	|  Best result at epoch 8
10	5.0438	1.9343	|	1.2254	1.2084	35.0480	27.4725	|	1.5139	1.3118	19.7533	23.6559	|  Best result at epoch 8
11	5.3617	2.8246	|	1.2997	1.1156	31.1080	23.0769	|	1.0461	0.9429	44.5491	20.4301	|  Best result at epoch 8
12	6.3311	1.4845	|	1.0103	0.8848	46.4489	38.4615	|	1.1582	0.8509	38.6095	45.1613	|  Best result at epoch 8
13	4.8471	2.8817	|	1.4974	1.4920	20.6310	26.3736	|	1.9720	1.8701	-4.5259	10.7527	|  Best result at epoch 8
14	4.7275	1.4553	|	0.9693	0.8508	48.6224	43.9560	|	1.0735	0.7973	43.0957	46.2366	|  Best result at epoch 8
15	4.2340	8.2300	|	2.5525	2.7085	-35.2983	14.2857	|	3.2930	3.4213	-74.5490	5.3763	|  Best result at epoch 8
16	5.5915	1.6366	|	1.0717	0.8726	43.1912	37.3626	|	1.2849	1.0598	31.8909	32.2581	|  Best result at epoch 8
17	4.4238	1.4768	|	0.9962	0.8481	47.1971	39.5604	|	1.1923	0.9534	36.7991	39.7849	|  Best result at epoch 8
18	4.0317	1.6981	|	1.0623	0.8661	43.6939	40.6593	|	1.3313	1.1397	29.4305	30.1075	|  Best result at epoch 8
19	3.8955	2.6350	|	1.2678	0.9063	32.8001	28.5714	|	0.9959	0.8738	47.2099	26.8817	|  Best result at epoch 8
20	3.8329	1.9391	|	1.0693	0.8429	43.3210	38.4615	|	1.0155	0.8386	46.1725	40.8602	|  Best result at epoch 8
21	4.7894	1.7018	|	0.9919	0.8267	47.4253	42.8571	|	0.9551	0.7609	49.3718	46.2366	|  Best result at epoch 8
22	3.7813	3.6841	|	1.5393	1.3281	18.4063	28.5714	|	2.1004	1.9172	-11.3347	18.2796	|  Best result at epoch 8
23	4.1251	3.5457	|	1.4900	1.3018	21.0196	32.9670	|	1.9817	1.6995	-5.0429	19.3548	|  Best result at epoch 8
24	3.1943	1.8614	|	1.0842	0.9153	42.5318	35.1648	|	1.1296	0.8941	40.1226	36.5591	|  Best result at epoch 8
25	3.0063	2.3125	|	1.1942	0.9314	36.6995	42.8571	|	1.3653	1.0608	27.6326	38.7097	|  Best result at epoch 8
26	3.1259	2.8245	|	1.3090	1.0506	30.6146	24.1758	|	1.0367	1.0209	45.0480	24.7312	|  Best result at epoch 8
27	3.7345	2.9174	|	1.3747	1.1967	27.1297	37.3626	|	1.7457	1.4198	7.4645	23.6559	|  Best result at epoch 8
28	3.3011	1.9754	|	1.0699	0.9089	43.2907	38.4615	|	1.0487	0.9044	44.4146	35.4839	|  Best result at epoch 8
29	3.2267	2.4574	|	1.2736	1.0783	32.4927	36.2637	|	1.5719	1.4554	16.6801	34.4086	|  Best result at epoch 8
30	2.6077	1.9177	|	1.0869	0.9111	42.3889	36.2637	|	1.1642	0.9401	38.2891	43.0108	|  Best result at epoch 8
31	2.5239	2.5856	|	1.2868	0.9987	31.7896	36.2637	|	1.6255	1.3243	13.8372	25.8065	|  Best result at epoch 8
32	3.1803	2.3126	|	1.1640	0.9873	38.3001	37.3626	|	1.0897	0.8885	42.2397	34.4086	|  Best result at epoch 8
33	3.4280	1.7197	|	1.0413	0.7867	44.8070	41.7582	|	1.1123	0.9429	41.0391	43.0108	|  Best result at epoch 8
34	3.4680	2.6238	|	1.2944	1.0747	31.3866	34.0659	|	1.6318	1.2308	13.5033	26.8817	|  Best result at epoch 8
35	2.4150	1.7701	|	1.0271	0.8674	45.5586	39.5604	|	1.0560	0.8734	44.0269	36.5591	|  Best result at epoch 8
36	2.2122	1.8077	|	1.0456	0.8697	44.5780	38.4615	|	1.0748	0.8781	43.0264	38.7097	|  Best result at epoch 8
37	4.3402	1.5047	|	0.9717	0.6985	48.4937	40.6593	|	1.0681	0.7794	43.3818	43.0108	|  Best result at epoch 8
38	2.5813	2.8295	|	1.3031	0.9068	30.9269	37.3626	|	1.5440	1.0374	18.1586	35.4839	|  Best result at epoch 8
39	2.6939	1.8319	|	1.0429	0.8624	44.7207	41.7582	|	1.1241	0.8376	40.4146	39.7849	|  Best result at epoch 8
40	2.2134	2.7863	|	1.3285	0.9717	29.5804	36.2637	|	1.6759	1.2258	11.1690	29.0323	|  Best result at epoch 8
41	2.1668	2.0233	|	1.0835	0.9477	42.5661	39.5604	|	1.1500	0.9800	39.0437	33.3333	|  Best result at epoch 8
42	2.1628	2.7533	|	1.2886	0.8632	31.6956	37.3626	|	1.6329	1.2130	13.4464	29.0323	|  Best result at epoch 8
43	2.8732	2.0813	|	1.0991	0.9322	41.7397	34.0659	|	1.0435	0.8457	44.6901	35.4839	|  Best result at epoch 8
44	2.6706	3.0437	|	1.3506	1.0806	28.4088	31.8681	|	1.7002	1.3406	9.8796	29.0323	|  Best result at epoch 8
45	2.1833	1.8279	|	1.0260	0.8854	45.6172	38.4615	|	1.0379	0.8008	44.9857	39.7849	|  Best result at epoch 8
