epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	41.6394	84.0678	|	8.3714	9.0495	-102.9153	9.7561	|	6.4450	6.2056	-56.2200	16.6667	|  Best result at epoch 0
1	76.9001	40.9889	|	5.2745	4.4622	-27.8496	0.0000	|	5.7757	4.5645	-39.9969	0.0000	|  Best result at epoch 1
2	36.5180	34.8395	|	4.6809	3.8304	-13.4608	9.7561	|	5.2085	4.0816	-26.2491	4.7619	|  Best result at epoch 2
3	30.4087	17.5747	|	3.0123	1.5844	26.9845	39.0244	|	3.3864	2.7070	17.9176	16.6667	|  Best result at epoch 3
4	20.8553	25.4900	|	4.5367	4.6670	-9.9644	14.6341	|	3.3759	2.7583	18.1704	26.1905	|  Best result at epoch 3
5	33.3385	25.7442	|	3.8237	2.7238	7.3171	12.1951	|	4.3213	3.3616	-4.7435	14.2857	|  Best result at epoch 3
6	23.7060	16.0241	|	2.8955	1.5588	29.8156	29.2683	|	3.2710	2.7598	20.7138	16.6667	|  Best result at epoch 6
7	16.9783	16.6679	|	2.9374	1.4885	28.7999	31.7073	|	3.3820	2.7046	18.0243	14.2857	|  Best result at epoch 6
8	19.1116	15.9980	|	2.8697	1.6718	30.4420	31.7073	|	3.3406	2.8122	19.0278	19.0476	|  Best result at epoch 8
9	15.1417	12.4349	|	2.7551	2.2126	33.2185	34.1463	|	2.8438	2.5898	31.0684	30.9524	|  Best result at epoch 9
10	13.4982	12.1236	|	2.7995	2.3018	32.1418	34.1463	|	2.8302	2.4240	31.3990	30.9524	|  Best result at epoch 9
11	14.9157	13.6535	|	3.1360	3.3486	23.9874	21.9512	|	2.8015	2.3301	32.0951	30.9524	|  Best result at epoch 9
12	14.0049	16.2571	|	2.8673	1.9918	30.4992	26.8293	|	3.3920	2.7144	17.7815	16.6667	|  Best result at epoch 9
13	14.3036	12.0369	|	2.8617	2.5532	30.6352	31.7073	|	2.7861	2.3015	32.4686	35.7143	|  Best result at epoch 9
14	10.9119	15.0477	|	3.3501	3.4586	18.7970	26.8293	|	3.0199	2.8651	26.8009	33.3333	|  Best result at epoch 9
15	10.5472	12.5645	|	2.9836	3.3400	27.6794	34.1463	|	3.0193	2.7721	26.8141	21.4286	|  Best result at epoch 9
16	13.3984	10.9212	|	2.7180	2.7977	34.1185	34.1463	|	2.8966	2.5332	29.7880	23.8095	|  Best result at epoch 16
17	7.8265	14.9580	|	2.8492	2.1274	30.9388	21.9512	|	3.3539	2.9094	18.7051	21.4286	|  Best result at epoch 16
18	11.4926	21.3301	|	3.4405	2.8850	16.6045	26.8293	|	4.0087	3.2741	2.8333	9.5238	|  Best result at epoch 16
19	15.6436	11.3287	|	2.7824	2.8948	32.5584	26.8293	|	2.8996	2.5940	29.7155	26.1905	|  Best result at epoch 16
20	14.2988	10.6795	|	2.6513	2.4747	35.7360	29.2683	|	2.7992	2.4654	32.1488	30.9524	|  Best result at epoch 20
21	7.2692	17.2805	|	3.0439	2.3231	26.2191	29.2683	|	3.5831	2.6863	13.1480	16.6667	|  Best result at epoch 20
22	9.0831	11.5199	|	2.8027	2.5621	32.0651	24.3902	|	2.7813	2.5710	32.5831	33.3333	|  Best result at epoch 20
23	8.7511	18.1783	|	3.1185	2.2503	24.4096	26.8293	|	3.6424	2.9436	11.7114	9.5238	|  Best result at epoch 20
24	10.5499	11.9959	|	2.7036	1.9016	34.4669	24.3902	|	2.8709	2.6934	30.4124	30.9524	|  Best result at epoch 20
25	5.5288	21.6656	|	3.7570	3.2680	8.9335	17.0732	|	3.3191	2.8694	19.5489	28.5714	|  Best result at epoch 20
26	18.1798	19.4533	|	3.2092	2.2940	22.2120	24.3902	|	3.8089	2.9145	7.6755	14.2857	|  Best result at epoch 20
27	12.7632	13.1583	|	2.7365	1.7542	33.6708	24.3902	|	3.0911	2.4749	25.0752	23.8095	|  Best result at epoch 20
28	6.4187	12.5633	|	2.7516	2.2126	33.3029	26.8293	|	3.0417	2.6389	26.2731	21.4286	|  Best result at epoch 20
29	6.0406	23.1155	|	3.5938	2.7844	12.8895	19.5122	|	4.1700	3.6141	-1.0778	11.9048	|  Best result at epoch 20
30	13.2809	15.1628	|	3.3483	3.2315	18.8409	19.5122	|	2.8544	2.7845	30.8130	38.0952	|  Best result at epoch 20
31	5.6307	13.4318	|	2.8568	1.7569	30.7539	21.9512	|	3.1256	2.8586	24.2382	23.8095	|  Best result at epoch 20
32	5.2825	16.9602	|	3.0513	2.2548	26.0404	26.8293	|	3.6313	3.2674	11.9812	11.9048	|  Best result at epoch 20
33	7.9733	15.0079	|	2.8811	1.8913	30.1637	24.3902	|	3.3340	3.0021	19.1859	14.2857	|  Best result at epoch 20
34	7.2322	20.4104	|	3.2753	2.3314	20.6089	24.3902	|	3.8425	3.2101	6.8621	11.9048	|  Best result at epoch 20
