epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	6.2439	609.3117	|	23.8257	23.0787	-1993.8482	0.0000	|	23.7106	24.1528	-1983.7364	0.0000	|  Best result at epoch 0
1	336.4365	1.2599	|	0.7499	0.4326	34.0984	8.0645	|	1.0959	1.2111	3.6896	7.9365	|  Best result at epoch 1
2	5.8833	1.1260	|	0.6506	0.3422	42.8237	33.8710	|	0.9980	1.0845	12.2963	17.4603	|  Best result at epoch 2
3	5.6809	1.0427	|	0.5826	0.2799	48.7968	41.9355	|	0.9318	1.0104	18.1080	23.8095	|  Best result at epoch 3
4	5.5383	0.9599	|	0.5183	0.2031	54.4465	58.0645	|	0.8632	0.9149	24.1429	33.3333	|  Best result at epoch 4
5	5.2882	0.8906	|	0.4814	0.1691	57.6957	69.3548	|	0.8078	0.8183	29.0112	39.6825	|  Best result at epoch 5
6	5.0759	0.8308	|	0.4674	0.1612	58.9269	66.1290	|	0.7670	0.7128	32.5986	41.2698	|  Best result at epoch 6
7	5.0106	0.7833	|	0.4717	0.2025	58.5475	56.4516	|	0.7335	0.6000	35.5367	33.3333	|  Best result at epoch 6
8	4.8161	0.7477	|	0.4989	0.2985	56.1569	43.5484	|	0.7093	0.5406	37.6658	31.7460	|  Best result at epoch 6
9	4.7780	0.7345	|	0.5401	0.3972	52.5353	33.8710	|	0.7015	0.5823	38.3484	30.1587	|  Best result at epoch 6
10	4.8832	0.7377	|	0.5849	0.4798	48.5948	24.1935	|	0.6978	0.5511	38.6725	30.1587	|  Best result at epoch 6
11	4.6616	0.7701	|	0.6514	0.5281	42.7500	19.3548	|	0.6936	0.5597	39.0490	30.1587	|  Best result at epoch 6
12	4.7509	0.7504	|	0.6300	0.5187	44.6342	20.9677	|	0.6971	0.5118	38.7359	30.1587	|  Best result at epoch 6
13	4.5479	0.8310	|	0.7171	0.6059	36.9770	17.7419	|	0.7015	0.5581	38.3467	28.5714	|  Best result at epoch 6
14	4.4947	0.8632	|	0.7472	0.6449	34.3375	16.1290	|	0.7083	0.5867	37.7571	31.7460	|  Best result at epoch 6
15	4.5419	0.7921	|	0.6871	0.5941	39.6162	17.7419	|	0.7017	0.5494	38.3312	26.9841	|  Best result at epoch 6
16	4.1977	1.0916	|	0.8871	0.8756	22.0383	17.7419	|	0.7677	0.6960	32.5356	33.3333	|  Best result at epoch 6
17	4.1873	0.9037	|	0.7841	0.6848	31.0895	16.1290	|	0.7320	0.5902	35.6723	34.9206	|  Best result at epoch 6
18	4.2801	0.7749	|	0.6889	0.6042	39.4544	19.3548	|	0.7119	0.5153	37.4401	26.9841	|  Best result at epoch 6
19	4.4133	0.6994	|	0.6015	0.5156	47.1369	25.8065	|	0.7097	0.5482	37.6310	30.1587	|  Best result at epoch 6
20	3.5741	0.6939	|	0.5014	0.3152	55.9397	48.3871	|	0.7430	0.6300	34.7044	33.3333	|  Best result at epoch 6
21	4.0016	0.7374	|	0.6665	0.5961	41.4308	27.4194	|	0.7362	0.6382	35.2975	34.9206	|  Best result at epoch 6
22	4.1240	0.7011	|	0.5234	0.3066	54.0058	46.7742	|	0.8087	0.6460	28.9296	19.0476	|  Best result at epoch 6
23	3.6293	0.7177	|	0.5406	0.3199	52.4882	38.7097	|	0.8530	0.6777	25.0368	15.8730	|  Best result at epoch 6
24	4.1020	1.1424	|	0.7309	0.4967	35.7658	14.5161	|	1.0438	0.6745	8.2651	12.6984	|  Best result at epoch 6
25	3.6588	0.7212	|	0.5889	0.3322	48.2432	38.7097	|	0.7998	0.5834	29.7127	31.7460	|  Best result at epoch 6
26	3.0123	0.7766	|	0.5678	0.3363	50.1041	32.2581	|	0.8738	0.6851	23.2096	23.8095	|  Best result at epoch 6
27	2.7682	0.9948	|	0.6826	0.4543	40.0122	16.1290	|	0.9872	0.6520	13.2468	15.8730	|  Best result at epoch 6
28	2.7785	0.9349	|	0.6533	0.4159	42.5835	20.9677	|	0.9731	0.7785	14.4778	15.8730	|  Best result at epoch 6
29	2.4713	1.3379	|	0.8443	0.5505	25.8040	3.2258	|	1.1903	0.7350	-4.6022	1.5873	|  Best result at epoch 6
30	4.7359	0.6862	|	0.4381	0.1468	61.4958	66.1290	|	0.7386	0.6682	35.0932	44.4444	|  Best result at epoch 30
31	2.5501	0.8185	|	0.5975	0.3767	47.4914	43.5484	|	0.8839	0.7003	22.3215	33.3333	|  Best result at epoch 30
32	2.2693	0.8558	|	0.5602	0.2926	50.7669	38.7097	|	0.9098	0.9413	20.0465	23.8095	|  Best result at epoch 30
33	1.4980	0.8760	|	0.5759	0.3181	49.3846	37.0968	|	0.9969	1.1386	12.3925	14.2857	|  Best result at epoch 30
34	2.0539	0.6716	|	0.5041	0.2465	55.7017	53.2258	|	0.8562	0.6656	24.7584	38.0952	|  Best result at epoch 30
35	3.0612	0.7239	|	0.4361	0.1490	61.6769	64.5161	|	0.7052	0.6544	38.0298	46.0317	|  Best result at epoch 35
36	3.3148	1.1049	|	0.6610	0.3449	41.9103	11.2903	|	1.0015	0.7092	11.9850	6.3492	|  Best result at epoch 35
37	3.6459	0.7360	|	0.4219	0.1146	62.9186	69.3548	|	0.7164	0.7101	37.0404	42.8571	|  Best result at epoch 37
38	2.2525	0.7992	|	0.4657	0.1601	59.0766	69.3548	|	0.8160	0.7705	28.2901	39.6825	|  Best result at epoch 37
39	2.1159	0.9592	|	0.5822	0.3019	48.8340	40.3226	|	0.9599	0.9529	15.6438	19.0476	|  Best result at epoch 37
40	1.3474	0.7379	|	0.4664	0.1522	59.0106	62.9032	|	0.8222	0.7587	27.7439	41.2698	|  Best result at epoch 37
41	2.5247	0.7357	|	0.4127	0.1048	63.7307	72.5806	|	0.7140	0.6729	37.2536	46.0317	|  Best result at epoch 41
42	2.7280	1.1405	|	0.6890	0.3818	39.4497	9.6774	|	1.0292	0.6630	9.5493	6.3492	|  Best result at epoch 41
43	1.6650	0.7717	|	0.4325	0.1090	61.9925	72.5806	|	0.7915	0.8495	30.4416	44.4444	|  Best result at epoch 41
44	0.9437	0.8565	|	0.4975	0.2146	56.2746	69.3548	|	0.9283	1.0413	18.4197	39.6825	|  Best result at epoch 41
45	1.1486	0.8271	|	0.4624	0.1583	59.3664	70.9677	|	0.8366	0.9544	26.4811	46.0317	|  Best result at epoch 41
46	0.8327	0.7647	|	0.4184	0.1050	63.2327	70.9677	|	0.7441	0.7648	34.6086	44.4444	|  Best result at epoch 41
47	1.7655	0.7574	|	0.4905	0.1576	56.8970	61.2903	|	0.9239	0.8335	18.8037	39.6825	|  Best result at epoch 41
48	2.4000	0.9264	|	0.5252	0.2239	53.8442	69.3548	|	0.8744	0.8056	23.1592	38.0952	|  Best result at epoch 41
49	1.0970	0.8288	|	0.4586	0.1560	59.6958	74.1935	|	0.8390	0.9543	26.2689	44.4444	|  Best result at epoch 41
50	2.4333	1.0664	|	0.6336	0.3207	44.3203	16.1290	|	0.9714	0.9236	14.6303	12.6984	|  Best result at epoch 41
51	2.0430	0.6803	|	0.4629	0.2243	59.3228	56.4516	|	0.7131	0.6142	37.3316	34.9206	|  Best result at epoch 41
52	1.8575	0.6923	|	0.5217	0.3141	54.1538	41.9355	|	0.8839	0.6635	22.3196	30.1587	|  Best result at epoch 41
53	12.1887	0.9208	|	0.5077	0.1833	55.3794	72.5806	|	0.8424	0.9036	25.9681	42.8571	|  Best result at epoch 41
54	3.5005	0.6680	|	0.5043	0.3344	55.6855	33.8710	|	0.6830	0.5047	39.9788	25.3968	|  Best result at epoch 41
55	2.7063	0.6874	|	0.4397	0.1982	61.3591	59.6774	|	0.7157	0.6217	37.1040	34.9206	|  Best result at epoch 41
56	2.3905	0.7920	|	0.4651	0.1676	59.1281	69.3548	|	0.8351	0.8887	26.6105	38.0952	|  Best result at epoch 41
57	1.7344	0.7252	|	0.4582	0.1717	59.7356	59.6774	|	0.8015	0.6905	29.5668	38.0952	|  Best result at epoch 41
58	1.1751	0.8360	|	0.5088	0.2063	55.2838	66.1290	|	0.9472	0.9396	16.7580	36.5079	|  Best result at epoch 41
59	1.0051	0.8211	|	0.4995	0.1797	56.1042	62.9032	|	0.9386	0.8083	17.5134	34.9206	|  Best result at epoch 41
60	2.0090	0.9267	|	0.5349	0.2319	52.9937	58.0645	|	0.9093	1.0486	20.0861	33.3333	|  Best result at epoch 41
61	1.0961	0.8685	|	0.4901	0.1924	56.9258	70.9677	|	0.8467	0.8929	25.5903	41.2698	|  Best result at epoch 41
62	0.9961	0.8137	|	0.4644	0.1651	59.1883	69.3548	|	0.8527	0.8963	25.0604	38.0952	|  Best result at epoch 41
63	1.2528	0.7785	|	0.4469	0.1374	60.7278	69.3548	|	0.8488	0.8315	25.4028	42.8571	|  Best result at epoch 41
64	1.1726	0.7836	|	0.4528	0.1535	60.2049	66.1290	|	0.8484	0.8575	25.4397	39.6825	|  Best result at epoch 41
65	1.6143	0.8088	|	0.4772	0.1838	58.0656	64.5161	|	0.8763	0.9445	22.9883	38.0952	|  Best result at epoch 41
