epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	23.6232	23.0465	|	4.3843	4.7574	-101.1689	6.6667	|	4.5390	4.8825	-108.2674	1.5873	|  Best result at epoch 0
1	20.9257	6.5311	|	1.5351	0.6208	29.5654	0.0000	|	1.6323	1.5010	25.1030	1.5873	|  Best result at epoch 1
2	20.2063	4.2555	|	1.1671	0.6439	46.4481	26.6667	|	0.9385	0.8278	56.9402	34.9206	|  Best result at epoch 2
3	30.2716	6.4872	|	1.5383	0.6211	29.4151	0.0000	|	1.6078	1.4980	26.2269	1.5873	|  Best result at epoch 2
4	21.3455	6.0471	|	1.3951	0.5155	35.9889	1.6667	|	1.4535	1.3504	33.3059	7.9365	|  Best result at epoch 2
5	20.1887	5.5177	|	1.2054	0.3829	44.6915	28.3333	|	1.2581	1.1225	42.2724	23.8095	|  Best result at epoch 2
6	18.4034	4.7614	|	0.9791	0.3890	55.0733	50.0000	|	1.0289	0.7506	52.7908	26.9841	|  Best result at epoch 6
7	17.2547	3.9225	|	0.9367	0.5066	57.0225	45.0000	|	0.9078	0.8084	58.3454	34.9206	|  Best result at epoch 7
8	14.0755	9.2432	|	2.5332	2.1214	-16.2344	6.6667	|	3.0291	2.8869	-38.9862	9.5238	|  Best result at epoch 7
9	13.8467	4.4895	|	1.3297	0.8605	38.9896	13.3333	|	1.3962	1.2403	35.9356	26.9841	|  Best result at epoch 7
10	11.7634	28.6559	|	3.8959	1.8208	-78.7589	3.3333	|	4.9861	4.0239	-128.7803	4.7619	|  Best result at epoch 7
11	18.5398	4.6699	|	0.9562	0.3287	56.1236	46.6667	|	0.9969	0.7332	54.2601	30.1587	|  Best result at epoch 7
12	14.0351	4.1207	|	1.2545	0.8862	42.4383	15.0000	|	1.0506	0.9279	51.7948	34.9206	|  Best result at epoch 7
13	12.6623	8.9206	|	2.5659	2.2430	-17.7319	3.3333	|	2.6645	2.4976	-22.2555	12.6984	|  Best result at epoch 7
14	13.9193	4.7738	|	1.3431	0.7784	38.3742	20.0000	|	1.3615	0.9833	37.5279	28.5714	|  Best result at epoch 7
15	12.0706	4.8810	|	1.2342	0.5117	43.3678	35.0000	|	1.2471	0.7093	42.7760	34.9206	|  Best result at epoch 7
16	9.5894	13.1944	|	2.3745	0.9125	-8.9504	33.3333	|	2.6991	1.5980	-23.8452	17.4603	|  Best result at epoch 7
17	8.9645	10.5958	|	2.0994	0.7221	3.6728	35.0000	|	2.3019	1.4896	-5.6208	23.8095	|  Best result at epoch 7
18	8.0720	17.8088	|	2.6129	0.8470	-19.8885	31.6667	|	2.8774	1.4198	-32.0243	17.4603	|  Best result at epoch 7
19	16.3538	4.4545	|	1.1827	0.7081	45.7322	23.3333	|	1.0105	0.7087	53.6330	39.6825	|  Best result at epoch 7
20	9.6634	12.7866	|	2.5568	1.3515	-17.3139	6.6667	|	2.8538	1.9922	-30.9445	15.8730	|  Best result at epoch 7
21	9.9553	5.9951	|	1.3748	0.5368	36.9201	43.3333	|	1.4602	0.8412	32.9997	23.8095	|  Best result at epoch 7
22	10.5120	5.5498	|	1.2042	0.3396	44.7485	26.6667	|	1.3011	1.1752	40.2997	23.8095	|  Best result at epoch 7
23	15.6809	4.5783	|	0.9467	0.3868	56.5612	43.3333	|	0.9696	0.7096	55.5111	25.3968	|  Best result at epoch 7
24	11.3837	4.1624	|	1.0752	0.5983	50.6647	28.3333	|	1.0193	0.9007	53.2295	36.5079	|  Best result at epoch 7
25	6.9922	5.3136	|	1.4277	0.6487	34.4934	23.3333	|	1.6165	1.1287	25.8301	25.3968	|  Best result at epoch 7
26	7.3916	9.3219	|	1.9436	0.7418	10.8220	31.6667	|	2.5760	1.4251	-18.1971	19.0476	|  Best result at epoch 7
27	10.4316	4.4500	|	1.0310	0.4284	52.6936	45.0000	|	1.1769	0.7981	45.9985	12.6984	|  Best result at epoch 7
28	3.2770	5.2061	|	1.2474	0.5513	42.7627	40.0000	|	1.5323	0.7718	29.6902	23.8095	|  Best result at epoch 7
29	7.9465	7.9719	|	1.7172	0.7098	21.2069	25.0000	|	2.2154	1.0791	-1.6519	25.3968	|  Best result at epoch 7
30	13.8651	4.3219	|	0.9960	0.4234	54.3007	40.0000	|	1.0853	0.8077	50.2034	22.2222	|  Best result at epoch 7
31	4.6428	5.6445	|	1.4656	0.7051	32.7527	20.0000	|	1.6394	1.0652	24.7758	28.5714	|  Best result at epoch 7
32	5.6426	4.6753	|	1.1353	0.4675	47.9102	40.0000	|	1.2312	0.7971	43.5092	31.7460	|  Best result at epoch 7
33	6.6816	8.8085	|	1.7548	0.5676	19.4830	40.0000	|	2.3875	1.5299	-9.5461	22.2222	|  Best result at epoch 7
34	14.1788	4.7933	|	0.9622	0.3584	55.8513	51.6667	|	1.0890	0.8631	50.0330	22.2222	|  Best result at epoch 7
35	5.5540	5.6231	|	1.3486	0.5522	38.1227	38.3333	|	1.7347	0.9874	20.4041	17.4603	|  Best result at epoch 7
36	9.8573	5.3943	|	1.2487	0.4825	42.7069	45.0000	|	1.5930	0.9399	26.9074	20.6349	|  Best result at epoch 7
37	5.0066	5.2671	|	1.2472	0.4681	42.7745	41.6667	|	1.6364	0.9831	24.9136	19.0476	|  Best result at epoch 7
38	4.3014	4.7931	|	1.0676	0.3244	51.0135	50.0000	|	1.3097	0.9106	39.9059	28.5714	|  Best result at epoch 7
39	11.3869	4.5450	|	0.9006	0.1866	58.6755	61.6667	|	0.9755	0.8183	55.2425	28.5714	|  Best result at epoch 39
40	8.7796	5.0291	|	1.2371	0.6138	43.2370	36.6667	|	1.3955	0.9274	35.9691	26.9841	|  Best result at epoch 39
41	6.0846	5.2849	|	1.1858	0.4117	45.5925	51.6667	|	1.4571	1.0188	33.1442	28.5714	|  Best result at epoch 39
