epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	1898.3792	236.0839	|	7.4547	4.3973	49.3422	16.9065	|	4.9519	5.0902	66.3500	2.1352	|  Best result at epoch 0
1	511.2783	280.1492	|	12.6352	12.0353	14.1387	7.5540	|	14.5968	14.7001	0.8088	0.0000	|  Best result at epoch 0
2	499.8519	253.4978	|	11.2174	10.2391	23.7727	7.5540	|	12.3996	12.6490	15.7394	0.0000	|  Best result at epoch 0
3	463.6844	270.4815	|	12.2960	11.5973	16.4438	8.9928	|	14.1892	14.1976	3.5783	0.0000	|  Best result at epoch 0
4	482.9091	250.9571	|	11.2209	10.0435	23.7494	10.4317	|	12.6502	12.9107	14.0368	0.0000	|  Best result at epoch 0
5	465.0022	244.1660	|	10.8313	9.3724	26.3966	9.7122	|	12.0654	12.3848	18.0102	0.7117	|  Best result at epoch 0
6	434.5988	241.6765	|	10.7935	8.9069	26.6538	8.2734	|	12.4898	13.2507	15.1267	0.7117	|  Best result at epoch 0
7	519.0474	254.6787	|	11.7025	10.5550	20.4765	9.3525	|	13.4289	13.8772	8.7451	0.7117	|  Best result at epoch 0
8	497.9285	219.4290	|	7.1287	4.0673	51.5574	15.8273	|	4.8604	4.7325	66.9717	5.3381	|  Best result at epoch 8
9	469.1421	244.6616	|	10.9075	9.4127	25.8787	13.6691	|	13.2808	13.3489	9.7515	1.7794	|  Best result at epoch 8
10	401.7422	204.4726	|	7.6791	4.8127	47.8170	16.9065	|	7.3123	6.4823	50.3101	3.9146	|  Best result at epoch 8
11	396.5224	198.8245	|	7.7988	4.6514	47.0038	16.9065	|	8.2774	6.1410	43.7514	3.9146	|  Best result at epoch 8
12	453.9218	206.6890	|	8.4664	6.1580	42.4672	15.1079	|	8.9178	8.1172	39.3998	1.0676	|  Best result at epoch 8
13	408.0444	211.4550	|	9.7228	7.7693	33.9292	9.3525	|	11.6719	10.2531	20.6843	0.0000	|  Best result at epoch 8
14	403.9841	221.0953	|	8.3205	6.3624	43.4585	14.3885	|	7.0393	7.1941	52.1649	0.7117	|  Best result at epoch 8
15	435.4160	221.6446	|	6.6094	2.6023	55.0863	15.4676	|	2.7467	2.3749	81.3353	11.0320	|  Best result at epoch 15
16	375.3261	217.3383	|	6.6925	3.1952	54.5220	17.6259	|	3.5500	3.2143	75.8764	8.5409	|  Best result at epoch 15
17	404.4057	446.5667	|	14.3854	8.5748	2.2454	8.6331	|	21.0444	11.2175	-43.0054	0.0000	|  Best result at epoch 15
18	352.9674	386.3499	|	13.4950	8.1709	8.2960	9.7122	|	19.4555	12.6886	-32.2087	1.7794	|  Best result at epoch 15
