epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	4.4606	3.5866	|	1.2986	0.9630	11.3907	25.9649	|	1.1970	0.9495	18.3282	31.8182	|  Best result at epoch 0
1	4.0653	3.0023	|	1.1984	0.7913	18.2320	17.1930	|	1.1241	0.7096	23.3023	15.7343	|  Best result at epoch 1
2	3.9326	2.9822	|	1.1974	0.7621	18.3009	12.9825	|	1.1158	0.7004	23.8685	14.6853	|  Best result at epoch 2
3	3.9242	3.7558	|	1.3494	1.0766	7.9288	25.9649	|	1.2346	1.0226	15.7596	31.1189	|  Best result at epoch 2
4	3.8239	2.2197	|	1.1557	0.9536	21.1446	30.1754	|	1.2073	1.0600	17.6234	27.6224	|  Best result at epoch 4
5	3.8511	2.2388	|	1.1647	0.9731	20.5297	27.7193	|	1.2275	1.0492	16.2461	24.8252	|  Best result at epoch 4
6	3.8488	2.8727	|	1.1726	0.8385	19.9930	24.9123	|	1.1004	0.7422	24.9152	27.2727	|  Best result at epoch 4
7	3.6710	3.4320	|	1.2689	0.9875	13.4192	27.0175	|	1.1656	0.9596	20.4704	31.1189	|  Best result at epoch 4
8	3.4384	3.1721	|	1.2474	0.9695	14.8881	27.3684	|	1.1831	0.9612	19.2753	29.0210	|  Best result at epoch 4
9	3.6285	3.2595	|	1.2333	0.8505	15.8482	25.6140	|	1.1353	0.8531	22.5367	30.7692	|  Best result at epoch 4
10	3.0320	2.7363	|	1.1396	0.7609	22.2432	25.9649	|	1.1358	0.8257	22.5024	24.8252	|  Best result at epoch 10
11	2.7076	2.9439	|	1.1802	0.7770	19.4706	21.4035	|	1.1064	0.7897	24.5094	20.9790	|  Best result at epoch 10
12	2.8003	3.3524	|	1.2434	0.8621	15.1564	25.6140	|	1.1557	0.8851	21.1397	29.7203	|  Best result at epoch 10
13	2.0088	3.6191	|	1.3124	1.0153	10.4488	26.3158	|	1.2092	0.9755	17.4926	31.8182	|  Best result at epoch 10
14	3.2646	3.2608	|	1.2344	0.8657	15.7749	24.5614	|	1.1480	0.8671	21.6679	26.9231	|  Best result at epoch 10
15	3.0258	3.2770	|	1.2412	0.9171	15.3121	25.9649	|	1.1716	0.9026	20.0600	25.8741	|  Best result at epoch 10
16	1.4739	3.5146	|	1.2956	1.0282	11.5942	25.2632	|	1.1951	0.9603	18.4573	29.7203	|  Best result at epoch 10
17	1.7075	2.6045	|	1.1223	0.7088	23.4248	18.2456	|	1.0905	0.6825	25.5925	17.8322	|  Best result at epoch 17
18	2.8193	3.0407	|	1.1892	0.8501	18.8545	27.3684	|	1.1364	0.8697	22.4598	25.1748	|  Best result at epoch 17
