epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	39.9736	2.3505	|	1.2472	1.4310	40.6444	0.0000	|	1.3632	1.4333	35.1252	0.9434	|  Best result at epoch 0
1	14.4357	1.4921	|	0.8509	0.9577	59.5070	42.7184	|	1.0012	1.0033	52.3513	36.7925	|  Best result at epoch 1
2	11.9197	4.2862	|	1.8786	1.9303	10.5975	12.6214	|	1.8140	1.9056	13.6726	16.0377	|  Best result at epoch 1
3	8.8505	0.9204	|	0.7308	0.6964	65.2215	36.8932	|	0.9161	0.8201	56.4008	28.3019	|  Best result at epoch 3
4	8.8866	4.7257	|	1.9657	1.8900	6.4518	10.6796	|	1.9799	2.0897	5.7781	16.0377	|  Best result at epoch 3
5	8.5793	1.2895	|	0.9252	0.8378	55.9692	30.0971	|	1.0996	1.0142	47.6721	29.2453	|  Best result at epoch 3
6	7.9955	0.9255	|	0.7307	0.5969	65.2247	34.9515	|	0.9714	0.7891	53.7693	19.8113	|  Best result at epoch 6
7	8.1053	1.0235	|	0.7580	0.6250	63.9266	26.2136	|	0.9529	0.7477	54.6533	18.8679	|  Best result at epoch 6
8	8.3031	1.3515	|	0.9421	0.8407	55.1674	30.0971	|	1.1130	1.0171	47.0330	26.4151	|  Best result at epoch 6
9	6.8953	1.2291	|	0.8781	0.7712	58.2095	31.0680	|	1.0879	0.9721	48.2261	19.8113	|  Best result at epoch 6
10	6.4798	1.2042	|	0.8441	0.6631	59.8272	28.1553	|	1.0041	0.8239	52.2130	24.5283	|  Best result at epoch 6
11	7.3136	62.0737	|	6.8649	5.6630	-226.7019	0.9709	|	6.7917	6.6957	-223.2159	5.6604	|  Best result at epoch 6
12	31.6431	1.2509	|	0.7987	0.7750	61.9890	35.9223	|	0.9510	0.8889	54.7435	29.2453	|  Best result at epoch 6
13	9.9022	0.9126	|	0.7636	0.7035	63.6609	35.9223	|	0.9338	0.8348	55.5612	32.0755	|  Best result at epoch 6
14	8.0507	1.0865	|	0.8354	0.8241	60.2455	37.8641	|	1.0019	0.9357	52.3175	32.0755	|  Best result at epoch 6
15	6.6590	1.3312	|	0.9384	0.8744	55.3415	30.0971	|	1.1233	1.0016	46.5432	31.1321	|  Best result at epoch 6
16	6.1500	1.0187	|	0.8032	0.6283	61.7742	32.0388	|	1.0156	0.8007	51.6655	17.9245	|  Best result at epoch 6
17	6.2870	3.9981	|	1.5760	1.2780	24.9965	24.2718	|	1.7381	1.4564	17.2843	27.3585	|  Best result at epoch 6
18	6.4102	8.4556	|	2.1296	1.4451	-1.3455	17.4757	|	2.4879	1.6288	-18.3986	18.8679	|  Best result at epoch 6
19	9.4955	1.0224	|	0.7818	0.6264	62.7955	29.1262	|	0.9900	0.7945	52.8849	18.8679	|  Best result at epoch 6
20	4.8908	3.2218	|	1.3718	1.0426	34.7154	23.3010	|	1.5196	1.2020	27.6800	31.1321	|  Best result at epoch 6
21	6.2469	1.1327	|	0.7885	0.6143	62.4774	30.0971	|	0.9784	0.7516	53.4389	19.8113	|  Best result at epoch 6
22	5.4224	1.1762	|	0.8360	0.5551	60.2152	30.0971	|	1.0642	0.8163	49.3546	18.8679	|  Best result at epoch 6
23	4.9926	1.3071	|	0.8626	0.8041	58.9466	31.0680	|	1.0026	0.8647	52.2840	28.3019	|  Best result at epoch 6
24	5.9104	2.7942	|	1.2102	0.8267	42.4074	33.9806	|	1.5332	1.2748	27.0337	22.6415	|  Best result at epoch 6
25	5.6716	1.7225	|	0.9876	0.7608	53.0022	27.1845	|	1.2616	0.9227	39.9589	24.5283	|  Best result at epoch 6
26	4.4705	1.6471	|	1.0355	1.0263	50.7197	12.6214	|	1.1410	0.8099	45.6985	15.0943	|  Best result at epoch 6
27	5.2102	1.1400	|	0.7945	0.5665	62.1916	32.0388	|	1.0392	0.8011	50.5462	18.8679	|  Best result at epoch 6
28	3.6715	42.5292	|	4.0668	1.6598	-93.5379	15.5340	|	4.6572	1.8731	-121.6358	16.9811	|  Best result at epoch 6
29	33.4930	1.0821	|	0.7734	0.6912	63.1928	21.3592	|	0.9248	0.7022	55.9894	15.0943	|  Best result at epoch 6
30	7.3596	1.0272	|	0.7684	0.8459	63.4295	39.8058	|	0.9438	0.9129	55.0852	33.0189	|  Best result at epoch 6
31	6.0246	1.1425	|	0.8151	0.5854	61.2107	33.9806	|	1.0565	0.8483	49.7218	25.4717	|  Best result at epoch 6
32	4.4255	1.3165	|	0.8444	0.6690	59.8132	30.0971	|	1.0698	0.8358	49.0861	22.6415	|  Best result at epoch 6
33	3.5923	3.3309	|	1.1443	0.6494	45.5409	32.0388	|	1.4870	0.9995	29.2335	19.8113	|  Best result at epoch 6
34	9.4056	0.9574	|	0.7591	0.5108	63.8723	30.0971	|	0.9346	0.6400	55.5207	19.8113	|  Best result at epoch 6
35	4.7001	0.9552	|	0.7663	0.5366	63.5340	23.3010	|	0.9490	0.6532	54.8351	16.9811	|  Best result at epoch 6
36	4.4424	1.2081	|	0.8226	0.7929	60.8509	31.0680	|	0.9706	0.8436	53.8112	33.9623	|  Best result at epoch 6
37	4.2090	3.5801	|	1.4996	1.1629	28.6362	20.3883	|	1.5855	1.2343	24.5469	27.3585	|  Best result at epoch 6
38	4.3061	1.3864	|	0.8782	0.7439	58.2087	32.0388	|	1.0460	0.9230	50.2197	29.2453	|  Best result at epoch 6
39	4.3594	1.1411	|	0.7922	0.5874	62.3004	32.0388	|	0.9751	0.7314	53.5969	23.5849	|  Best result at epoch 6
40	3.5106	1.4299	|	0.8693	0.5876	58.6304	31.0680	|	1.0727	0.7048	48.9515	16.0377	|  Best result at epoch 6
41	3.8053	1.0620	|	0.7713	0.6358	63.2924	20.3883	|	0.9280	0.6592	55.8344	18.8679	|  Best result at epoch 6
42	4.2806	1.3569	|	0.8537	0.6975	59.3713	31.0680	|	1.0192	0.8898	51.4964	29.2453	|  Best result at epoch 6
43	3.9079	0.9791	|	0.7717	0.6807	63.2740	36.8932	|	0.9487	0.7841	54.8519	30.1887	|  Best result at epoch 6
44	3.1766	1.2513	|	0.8223	0.7991	60.8651	35.9223	|	0.9893	0.8592	52.9169	30.1887	|  Best result at epoch 6
45	4.4888	5.3064	|	1.2571	0.6986	40.1729	24.2718	|	1.7993	0.8777	14.3711	23.5849	|  Best result at epoch 6
46	18.4348	0.9811	|	0.7611	0.6485	63.7805	15.5340	|	0.9345	0.6710	55.5258	11.3208	|  Best result at epoch 6
47	4.9188	1.0227	|	0.7821	0.7915	62.7781	36.8932	|	0.9640	0.8899	54.1230	33.0189	|  Best result at epoch 6
48	3.4049	1.3916	|	0.8788	0.6580	58.1768	26.2136	|	1.0726	0.7099	48.9530	16.0377	|  Best result at epoch 6
49	3.0933	1.1832	|	0.8340	0.5948	60.3114	27.1845	|	1.0398	0.6605	50.5167	19.8113	|  Best result at epoch 6
50	3.2367	1.6278	|	0.9170	0.6607	56.3612	30.0971	|	1.1334	0.7823	46.0598	17.9245	|  Best result at epoch 6
