epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	4.8304	132.8576	|	10.8048	11.0271	-817.8689	0.0000	|	12.4227	12.5642	-955.3054	0.0000	|  Best result at epoch 0
1	189.7586	5.8791	|	2.1922	2.3710	-86.2277	2.4390	|	1.2494	0.5894	-6.1389	4.6512	|  Best result at epoch 1
2	3.0570	5.5891	|	2.1267	2.2929	-80.6668	2.4390	|	1.1791	0.5304	-0.1666	9.3023	|  Best result at epoch 2
3	2.8875	5.0062	|	1.9905	2.1183	-69.0956	2.4390	|	1.0331	0.3926	12.2384	32.5581	|  Best result at epoch 3
4	2.5195	3.9896	|	1.7392	1.8032	-47.7450	4.8780	|	0.8906	0.4068	24.3455	39.5349	|  Best result at epoch 4
5	1.8315	2.2067	|	1.1884	1.0609	-0.9561	29.2683	|	0.9790	0.7254	16.8321	20.9302	|  Best result at epoch 5
6	1.8717	1.5185	|	0.9136	0.6774	22.3867	56.0976	|	1.1431	1.0874	2.8898	13.9535	|  Best result at epoch 6
7	1.4766	2.5186	|	1.2966	1.2390	-10.1421	14.6341	|	0.8966	0.5549	23.8338	18.6047	|  Best result at epoch 6
8	1.3060	1.5271	|	0.9267	0.7742	21.2758	48.7805	|	1.0643	0.9983	9.5883	16.2791	|  Best result at epoch 6
9	1.3856	2.3047	|	1.2210	1.1291	-3.7270	24.3902	|	0.9008	0.5853	23.4763	25.5814	|  Best result at epoch 6
10	1.4711	2.4032	|	1.2564	1.2043	-6.7345	24.3902	|	0.8829	0.5809	24.9964	23.2558	|  Best result at epoch 6
11	1.6241	2.7142	|	1.3659	1.3793	-16.0372	12.1951	|	0.8657	0.5164	26.4581	23.2558	|  Best result at epoch 6
12	1.5210	2.0195	|	1.1140	1.0687	5.3676	31.7073	|	0.9039	0.6462	23.2096	20.9302	|  Best result at epoch 6
13	1.2677	1.7596	|	1.0120	0.8996	14.0306	36.5854	|	0.9661	0.7833	17.9282	23.2558	|  Best result at epoch 6
14	1.0927	2.2335	|	1.1898	1.1985	-1.0740	26.8293	|	0.8849	0.5976	24.8305	23.2558	|  Best result at epoch 6
15	1.3471	2.1806	|	1.1676	1.1609	0.8165	29.2683	|	0.8927	0.6127	24.1666	23.2558	|  Best result at epoch 6
16	1.2056	2.1562	|	1.1679	1.1499	0.7885	29.2683	|	0.8843	0.6235	24.8769	23.2558	|  Best result at epoch 6
17	1.2223	1.2118	|	0.8445	0.6374	28.2621	46.3415	|	1.1518	1.0748	2.1580	18.6047	|  Best result at epoch 17
18	1.6332	1.9976	|	1.1093	1.0394	5.7654	34.1463	|	0.8858	0.6674	24.7522	23.2558	|  Best result at epoch 17
19	1.0215	1.3244	|	0.8795	0.5864	25.2845	53.6585	|	1.0672	1.0016	9.3404	18.6047	|  Best result at epoch 17
20	1.5131	1.3651	|	0.8844	0.5738	24.8741	51.2195	|	1.0381	0.8711	11.8176	16.2791	|  Best result at epoch 17
21	0.8679	1.7051	|	0.9911	0.8253	15.8045	36.5854	|	0.9388	0.7297	20.2448	25.5814	|  Best result at epoch 17
22	1.1454	1.7473	|	0.9977	0.8029	15.2415	39.0244	|	0.9290	0.6842	21.0824	20.9302	|  Best result at epoch 17
23	0.8116	1.8562	|	1.0342	0.8431	12.1426	34.1463	|	0.9199	0.5981	21.8549	20.9302	|  Best result at epoch 17
24	0.9173	1.7075	|	0.9790	0.8291	16.8299	39.0244	|	0.9394	0.7296	20.2010	18.6047	|  Best result at epoch 17
25	1.0911	1.1921	|	0.8057	0.6268	31.5568	51.2195	|	1.1412	1.0551	3.0565	18.6047	|  Best result at epoch 25
26	1.1401	1.3669	|	0.8829	0.6323	24.9972	53.6585	|	1.0365	0.9028	11.9456	18.6047	|  Best result at epoch 25
27	1.0649	1.2588	|	0.8533	0.6026	27.5129	53.6585	|	1.0867	0.9482	7.6861	16.2791	|  Best result at epoch 25
