epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	45.9721	19.0057	|	2.0982	0.8758	42.4117	35.3234	|	2.9873	1.1363	18.0090	29.2079	|  Best result at epoch 0
1	15.4142	17.6378	|	1.9639	0.6130	46.0977	19.9005	|	2.8596	1.1245	21.5148	13.3663	|  Best result at epoch 1
2	13.8344	141.2495	|	11.4055	12.0112	-213.0377	1.9900	|	10.4521	10.8287	-186.8698	1.4851	|  Best result at epoch 1
3	36.4166	17.0675	|	1.9125	0.7409	47.5098	15.4229	|	2.7977	1.0802	23.2153	14.8515	|  Best result at epoch 3
4	14.4207	15.0578	|	1.9068	1.1993	47.6666	26.8657	|	2.6836	1.6274	26.3462	16.8317	|  Best result at epoch 4
5	12.2667	17.8613	|	3.2317	3.1134	11.3036	5.4726	|	3.1657	2.8867	13.1149	1.9802	|  Best result at epoch 4
6	11.9494	14.6294	|	2.0019	1.2946	45.0551	25.3731	|	2.6304	1.8295	27.8061	14.8515	|  Best result at epoch 4
7	10.9943	14.6029	|	2.0642	1.3563	43.3445	14.9254	|	2.5520	2.0231	29.9576	11.3861	|  Best result at epoch 4
8	10.4542	15.4443	|	2.5923	2.2496	28.8503	9.9502	|	2.6996	2.2089	25.9077	7.9208	|  Best result at epoch 4
9	9.1346	17.8284	|	2.9431	2.4699	19.2239	13.4328	|	2.6624	2.0405	26.9263	30.1980	|  Best result at epoch 4
10	8.7165	315.0607	|	14.1987	13.4549	-289.6991	2.9851	|	13.3180	11.2092	-265.5261	5.4455	|  Best result at epoch 4
11	36.3567	15.2972	|	1.8587	0.9065	48.9856	22.3881	|	2.7673	1.1706	24.0491	15.8416	|  Best result at epoch 11
12	11.1001	46.3374	|	6.1442	6.2744	-68.6357	5.9701	|	5.1175	5.5819	-40.4554	32.1782	|  Best result at epoch 11
13	14.4629	13.7847	|	2.0620	1.4853	43.4054	16.4179	|	2.7563	2.5929	24.3502	10.8911	|  Best result at epoch 11
14	7.6971	21.6090	|	3.6436	3.4645	-0.0018	11.9403	|	3.4107	2.8122	6.3897	24.2574	|  Best result at epoch 11
15	8.0127	16.6977	|	1.9800	0.8141	45.6569	24.3781	|	3.2163	2.0134	11.7245	10.3960	|  Best result at epoch 11
16	8.4312	13.8322	|	1.7290	0.8160	52.5459	31.3433	|	3.0853	1.9506	15.3199	16.8317	|  Best result at epoch 16
17	7.0916	14.9116	|	2.1849	1.2977	40.0321	19.9005	|	3.3373	2.9590	8.4030	9.9010	|  Best result at epoch 16
18	7.5890	13.5389	|	2.0909	1.3750	42.6117	22.8856	|	3.3553	2.6709	7.9105	12.3762	|  Best result at epoch 16
19	6.7197	13.9301	|	1.9415	1.2236	46.7136	15.4229	|	3.2718	1.9062	10.2023	10.8911	|  Best result at epoch 16
20	7.2011	14.6819	|	1.8945	1.0131	48.0026	22.3881	|	3.3624	1.7686	7.7163	12.8713	|  Best result at epoch 16
21	6.5927	17.3565	|	2.2883	1.0940	37.1959	24.3781	|	3.7976	3.4444	-4.2304	13.8614	|  Best result at epoch 16
22	6.6932	16.1271	|	2.0741	0.9786	43.0728	38.8060	|	3.6768	2.1996	-0.9126	19.8020	|  Best result at epoch 16
23	6.4880	14.1282	|	2.1882	1.4480	39.9428	25.3731	|	3.4739	3.2665	4.6546	14.8515	|  Best result at epoch 16
24	7.4741	14.1743	|	1.8926	1.1284	48.0560	13.9303	|	3.1981	1.6655	12.2235	8.4158	|  Best result at epoch 16
25	6.0845	15.7381	|	2.0890	1.0976	42.6659	33.8308	|	3.7643	2.5746	-3.3143	18.3168	|  Best result at epoch 16
26	6.0722	16.4407	|	2.5948	1.4540	28.7817	16.4179	|	4.0210	4.2019	-10.3620	12.8713	|  Best result at epoch 16
