epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
0	13.5292	27.7193	|	4.9032	5.0811	-93.3516	5.5556	|	4.8982	5.1416	-93.1535	8.5366	|  Best result at epoch 0
1	16.2716	5.4810	|	1.5883	1.2765	37.3657	26.5432	|	1.4903	0.9829	41.2312	35.3659	|  Best result at epoch 1
2	8.7598	5.4616	|	1.7603	1.4905	30.5851	29.6296	|	1.7568	1.4758	30.7218	25.0000	|  Best result at epoch 1
3	8.4327	5.3053	|	1.7149	1.3867	32.3746	33.9506	|	1.7146	1.3914	32.3861	26.8293	|  Best result at epoch 1
4	8.1572	5.0881	|	1.5953	1.2818	37.0914	29.6296	|	1.5263	1.3186	39.8122	29.8780	|  Best result at epoch 1
5	6.7329	5.3878	|	1.5853	1.3102	37.4869	26.5432	|	1.4664	1.1348	42.1755	26.8293	|  Best result at epoch 5
6	7.2551	8.8360	|	2.0439	1.6239	19.4020	16.0494	|	2.0193	1.4596	20.3725	12.1951	|  Best result at epoch 5
7	7.7478	5.4080	|	1.5787	1.1629	37.7475	34.5679	|	1.5004	1.1921	40.8351	27.4390	|  Best result at epoch 7
8	6.5936	5.8405	|	1.6271	1.2690	35.8354	32.0988	|	1.5380	1.2588	39.3520	27.4390	|  Best result at epoch 7
9	6.5782	5.9711	|	1.6788	1.2460	33.7991	31.4815	|	1.5926	1.2873	37.1969	26.8293	|  Best result at epoch 7
10	6.4685	6.1850	|	1.6926	1.3290	33.2558	27.1605	|	1.5686	1.1990	38.1452	24.3902	|  Best result at epoch 7
11	5.4587	8.8534	|	2.0309	1.4312	19.9126	26.5432	|	1.7877	1.3261	29.5031	28.6585	|  Best result at epoch 7
12	7.6109	6.1376	|	1.6251	1.2203	35.9151	19.1358	|	1.5547	1.1277	38.6923	29.8780	|  Best result at epoch 7
13	5.2944	6.3285	|	1.6585	1.1698	34.6005	20.3704	|	1.5992	1.2239	36.9384	25.0000	|  Best result at epoch 7
14	4.4648	10.8471	|	2.3732	1.6477	6.4162	17.9012	|	2.0352	1.4225	19.7434	24.3902	|  Best result at epoch 7
15	7.1369	6.0970	|	1.6098	1.0908	36.5177	22.8395	|	1.5733	1.1370	37.9583	23.1707	|  Best result at epoch 7
16	5.4161	6.9990	|	1.7294	1.2856	31.8042	23.4568	|	1.6902	1.0658	33.3471	27.4390	|  Best result at epoch 7
17	5.6349	6.4551	|	1.6599	1.2345	34.5447	28.3951	|	1.6134	1.1452	36.3774	23.1707	|  Best result at epoch 7
18	5.3477	6.6795	|	1.7120	1.3285	32.4901	29.6296	|	1.6218	1.2492	36.0444	25.6098	|  Best result at epoch 7
19	5.0795	7.2674	|	1.8318	1.3423	27.7661	24.0741	|	1.6395	1.1990	35.3463	26.2195	|  Best result at epoch 7
20	4.7206	7.4941	|	1.8509	1.3491	27.0112	22.2222	|	1.6921	1.2327	33.2745	25.0000	|  Best result at epoch 7
21	4.1690	7.3300	|	1.8002	1.3269	29.0099	22.8395	|	1.6975	1.1015	33.0603	21.9512	|  Best result at epoch 7
22	4.6778	6.5881	|	1.7229	1.0805	32.0583	20.9877	|	1.6177	1.2706	36.2093	21.3415	|  Best result at epoch 7
23	3.9778	6.9930	|	1.7992	1.2752	29.0508	22.8395	|	1.6380	1.2792	35.4071	21.3415	|  Best result at epoch 7
24	3.9131	6.9962	|	1.7961	1.3087	29.1741	13.5802	|	1.6396	1.2552	35.3429	19.5122	|  Best result at epoch 7
25	5.1396	6.4880	|	1.6868	1.1637	33.4831	22.2222	|	1.6147	1.3091	36.3246	20.1220	|  Best result at epoch 7
26	4.2263	6.8196	|	1.7154	1.1409	32.3562	27.1605	|	1.6283	1.2895	35.7890	19.5122	|  Best result at epoch 7
27	3.8673	7.1795	|	1.7956	1.2581	29.1910	19.1358	|	1.6085	1.1681	36.5688	19.5122	|  Best result at epoch 7
28	3.5871	6.9151	|	1.7181	1.2023	32.2495	20.9877	|	1.6661	1.2432	34.3006	16.4634	|  Best result at epoch 7
29	3.5945	7.1050	|	1.7713	1.2686	30.1496	21.6049	|	1.6952	1.3375	33.1524	20.7317	|  Best result at epoch 7
30	3.7025	7.0214	|	1.7366	1.1904	31.5175	17.9012	|	1.6674	1.2654	34.2471	22.5610	|  Best result at epoch 7
31	3.7165	8.4367	|	2.0085	1.3207	20.7975	18.5185	|	1.7834	1.1670	29.6755	24.3902	|  Best result at epoch 7
32	3.1430	6.8891	|	1.7614	1.1826	30.5409	24.6914	|	1.6849	1.2505	33.5573	23.1707	|  Best result at epoch 7
