Project, MAE, MdAE
MESOS_tfidf-se,1.3311475409836067,1.0
ALOY_tfidf-se,1.44,2.0
TISTUD_tfidf-se,1.5062388591800357,2.0
APSTUD_tfidf-se,3.9690721649484537,3.0
CLI_tfidf-se,2.9836065573770494,3.0
DAEMON_tfidf-se,2.738095238095238,3.0
TIDOC_tfidf-se,3.0346534653465347,1.0
CLOV_tfidf-se,4.043478260869565,1.0
CONFCLOUD_tfidf-se,1.3265306122448979,1.0
CONFSERVER_tfidf-se,0.956989247311828,1.0
DNN_tfidf-se,0.7855421686746988,1.0
DURACLOUD_tfidf-se,0.6825396825396826,1.0
FAB_tfidf-se,1.1428571428571428,1.0
STL_tfidf-se,0.8372093023255814,0.0
COMPASS_tfidf-se,1.3773584905660377,2.0
SERVER_tfidf-se,0.9292452830188679,1.0
EVG_tfidf-se,0.6966490299823633,1.0
MDL_tfidf-se,6.309608540925267,7.0
MULE_tfidf-se,3.5714285714285716,2.0
NEXUS_tfidf-se,1.167832167832168,1.0
XD_tfidf-se,2.0121951219512195,2.0
